Attribute label , Status , Data type , Key name
`status:meta` , required , string , ``:claim/statuses`` 
`researcher:meta` , required , string , ``:meta/researchers``
`internal_comments:meta` , optional , string , ``:meta/internal-comments``
`citation:refs:location` , optional , strings<->uuids , proposed
`id:entity` , required , string<->uuid , ``:entity/id``
`location:humane_id:qa` , optional , string , n/a
`name:annotation` , required , string , ``:annotation/name``
`origin_id:location` , required , string , ``:location/origin-id``
`geo_type:qa` , optional , string , ``:location/geo-type``
`origin:location` , required , string , ``:location/origin``
`country:annotation` , optional , string , ``:annotation/country``
`geometry:ref:entity` , required , string<->uuid , ``:location/geo-feature:ref``
`location:explicit_parent:annotation` ,  optional ,  string , ``:annotation/location:explicit-parent``
`location:admin_level:qa` , optional , string ,  n/a
`location:admin_level_10:qa` , optional , string , n/a
`location:admin_level_9:qa` , optional , string ,  n/a
`location:admin_level_8:qa` , optional , string ,  n/a
`location:admin_level_7:qa` , optional , string ,  n/a
`location:admin_level_6:qa` , optional , string , n/a
`location:admin_level_5:qa` , optional , string , n/a
`location:admin_level_4:qa` , optional , string , n/a
`location:admin_level_3:qa` , optional , string , n/a
`location:admin_level_2:qa` , optional , string , n/a
`location:admin_level_1:qa` , optional , string , n/a
`location:admin_level_0:qa` , optional , string , n/a
`first_precise:range` , optional , string-date , ``:range-precise/first``
`last_precise:range` , optional , string-date , ``:range-precise/last``
`first_imprecise:range` , optional , string-date , ``:range-imprecise/first``
`last_imprecise:range` , optional , string-date , ``:range-imprecise/last``
`starting:range` , optional , YN<->bool , ``:range/starting?``
`ending:range` , optional , YN<->bool , ``:range/ending?``
`starting_context:range` , optional , string , ``:range/starting-context``
`ending_context:range` , optional , string ,  ``:range/ending-context``
`public_notes:meta` , optional , string , ``:meta/public-notes``
`type:entity` , required , string , ``:entity/type``
